target_volume,shift_type,shift_type_encoded,day_of_week,is_weekend,is_peak_season,team_size,historical_spoilage_rate,inbound_ratio,has_oversized_items,base_pallets,spoilage_buffer_pallets,oversized_extra_pallets,pallets_to_order,carts_needed
9511,morning,0,3,0,0,28,0.02300083644030867,0.4406622142806635,0,53,2,0,56,294
22404,peak,3,5,1,0,59,0.0894032223473869,0.5238053910971506,0,125,16,0,141,692
52650,peak,3,5,1,0,23,0.12019772053237046,0.4595461771462013,0,293,50,0,344,1625
2805,night,2,0,0,0,72,0.13883224362680716,0.5759589350316352,0,16,3,0,20,87
9500,morning,0,5,1,0,13,0.12159525294066473,0.5308065075852582,0,53,7,0,61,294
20142,morning,0,1,0,1,76,0.08647932347853504,0.4277381179317897,0,112,13,0,125,622
10982,afternoon,1,4,0,1,63,0.09304731065606456,0.34401006545271995,0,62,8,0,70,339
21306,afternoon,1,5,1,0,45,0.1188996847845399,0.36876763529208473,0,119,15,0,135,658
20810,morning,0,2,0,0,56,0.022377283619313938,0.543160034628507,0,116,3,0,120,643
9939,afternoon,1,3,0,0,12,0.13419732178333574,0.7229727669928696,0,56,8,0,66,307
5432,morning,0,0,0,0,63,0.08374654950178778,0.3503194459609901,0,31,3,0,35,168
49342,peak,3,3,0,0,78,0.13424626933879052,0.6386031926017554,0,275,52,0,329,1523
12489,morning,0,4,0,0,87,0.11174217998969976,0.6960455729228046,1,70,8,9,89,386
6806,afternoon,1,3,0,0,67,0.03827812143376416,0.4383861391573641,1,38,2,5,47,211
17747,morning,0,3,0,1,69,0.039831177756755286,0.6341197464259497,0,99,5,0,105,548
5337,afternoon,1,0,0,0,61,0.0624375171215256,0.6433289723414584,0,30,2,0,33,165
19926,afternoon,1,4,0,0,36,0.05167856263229568,0.6538963655132131,0,111,7,0,119,615
7552,morning,0,2,0,0,23,0.07271585111570315,0.7454045457997437,0,42,4,0,47,234
23948,peak,3,0,0,0,84,0.0924684645050468,0.49926303224555263,0,134,18,0,154,739
3414,night,2,6,1,0,76,0.072389539938409,0.42184456883571314,0,19,2,0,22,106
59059,peak,3,4,0,0,67,0.026770470164866254,0.5719224339436348,0,329,13,0,344,1823
7740,night,2,4,0,0,61,0.13707579381810828,0.3312741866177077,1,43,8,6,59,239
19258,afternoon,1,3,0,0,39,0.07101465610416195,0.466960465100226,0,107,8,0,117,595
35609,peak,3,1,0,0,14,0.12212900051860646,0.7416125633569189,1,198,34,23,255,1099
10561,morning,0,1,0,0,49,0.028874515071338258,0.5660287801221064,0,59,2,0,60,326
9433,morning,0,2,0,0,75,0.11720778556600184,0.5183376521197962,0,53,7,0,62,292
13085,morning,0,3,0,0,65,0.0408085565253566,0.4328419553505155,0,73,3,0,78,404
13697,morning,0,1,0,0,47,0.10152859315963546,0.4251878423530874,1,77,8,10,94,423
15524,afternoon,1,0,0,0,55,0.09941680355061083,0.4183060106801596,0,87,10,0,97,480
9022,morning,0,2,0,1,55,0.12917680619202315,0.7146168340599408,0,51,9,0,61,279
9226,night,2,3,0,0,80,0.058481201642088636,0.7925101860964048,1,52,4,7,63,285
7714,afternoon,1,5,1,0,64,0.03307517118987711,0.5673992166365561,0,43,2,0,46,239
20460,morning,0,0,0,0,24,0.12374789795118506,0.3399167085864066,0,114,15,0,128,632
5352,afternoon,1,1,0,0,55,0.05978930355684406,0.6755195229675951,0,30,2,0,32,166
12618,morning,0,1,0,0,15,0.047904054687256316,0.73852721171016,0,71,4,0,74,390
4528,night,2,1,0,0,81,0.07834503343860351,0.7656140854947561,0,26,3,0,29,140
12121,morning,0,1,0,0,62,0.03753628280141478,0.6143876730106925,0,68,3,0,71,375
40135,peak,3,4,0,0,81,0.055635602368636294,0.5534404166294098,1,223,18,20,260,1239
5357,night,2,5,1,0,22,0.06623367608775838,0.6102636572332065,1,30,3,3,35,166
12139,morning,0,2,0,0,65,0.053270635218928324,0.30647535880648974,0,68,4,0,71,375
18267,morning,0,2,0,0,73,0.07403114008916985,0.6277099376493749,0,102,8,0,111,564
7768,night,2,1,0,0,70,0.06615808067409497,0.654823196627774,0,44,4,0,47,240
8992,night,2,2,0,1,72,0.11295092373327194,0.6610151738189441,1,50,9,5,66,278
3870,night,2,5,1,0,51,0.1302090412309652,0.5815358904547065,0,22,4,0,28,120
6715,night,2,0,0,0,15,0.032110786009742306,0.6500221856606812,0,38,2,0,39,208
14315,morning,0,0,0,0,38,0.11879630521330294,0.6194161953650961,1,80,10,10,99,442
11600,afternoon,1,6,1,0,27,0.13181254492423228,0.3577642099211496,0,65,9,0,74,358
12692,morning,0,2,0,0,18,0.1023935775162411,0.7491833847012179,1,71,8,9,90,392
4536,night,2,1,0,0,22,0.13957036114048263,0.6113637538439448,0,26,5,0,32,140
7224,afternoon,1,3,0,0,83,0.06020515995978705,0.6638971852415133,0,41,3,0,44,223
8413,morning,0,5,1,0,75,0.11963719299019586,0.47144375995872545,0,47,6,0,54,260
7127,morning,0,1,0,0,63,0.10084430056122669,0.7596197581145427,1,40,5,6,50,220
17039,morning,0,4,0,0,17,0.058811454463694915,0.5513078830943456,0,95,6,0,101,526
16779,morning,0,3,0,0,59,0.10456117802124143,0.6395029958293288,1,94,10,9,115,518
9674,night,2,5,1,0,80,0.08115462068690694,0.7760910302989497,0,54,6,0,60,299
18050,afternoon,1,4,0,1,17,0.04267686689565471,0.7580413724664299,0,101,6,0,108,557
2452,night,2,2,0,0,72,0.04086556188913553,0.6223993853693539,0,14,2,0,18,76
20926,afternoon,1,4,0,0,77,0.10560786161190178,0.38287069576662236,0,117,13,0,131,646
19235,morning,0,2,0,0,84,0.10543165547800804,0.7752842154868078,0,107,12,0,121,594
5599,night,2,4,0,0,90,0.08369285131537202,0.7920678486554839,0,32,4,0,35,173
6814,night,2,3,0,0,64,0.08016988007332966,0.3516983476910077,0,38,4,0,41,211
21362,afternoon,1,4,0,1,39,0.04160461348266342,0.5251488410591518,1,119,7,14,139,660
6496,night,2,1,0,0,16,0.07151433476051659,0.5741277819230883,1,37,4,4,47,201
21369,afternoon,1,2,0,0,69,0.12456770252373213,0.3460407702344619,0,119,16,0,135,660
6408,afternoon,1,0,0,0,35,0.12256727673141812,0.39483997472982996,0,36,5,0,40,198
8158,afternoon,1,4,0,0,42,0.09931026821697186,0.5688526955396864,0,46,5,0,53,252
12458,morning,0,2,0,0,52,0.13968280135636799,0.7815447239253275,0,70,10,0,82,385
15468,morning,0,0,0,0,79,0.12718140160275446,0.313904987964379,0,86,11,0,96,478
19150,morning,0,2,0,1,57,0.037427650828172246,0.7562215370784369,0,107,6,0,115,591
20808,afternoon,1,6,1,0,21,0.06789636837124435,0.7493040850246954,1,116,9,11,138,643
11659,morning,0,2,0,0,48,0.03583249817111293,0.7285893175932782,0,65,3,0,67,360
5526,afternoon,1,0,0,0,32,0.07593075397150438,0.4887754643321221,0,31,3,0,34,171
53088,peak,3,0,0,0,32,0.11316593896937985,0.5454117686040013,0,295,47,0,343,1639
15012,morning,0,3,0,0,21,0.03869464519145114,0.5017973196629363,1,84,4,10,98,464
8352,afternoon,1,5,1,0,35,0.1256506438903884,0.7737930932144143,1,47,7,4,60,258
6137,night,2,6,1,1,23,0.08828690618486076,0.560675309886953,0,35,5,0,42,190
16820,morning,0,4,0,0,31,0.10987333457566942,0.3403063043335215,1,94,11,14,121,520
17479,morning,0,4,0,0,81,0.02541869745291204,0.43702992215558867,0,98,3,0,100,540
13356,morning,0,6,1,0,19,0.03126057840210461,0.5310166064573771,0,75,3,0,79,413
9913,morning,0,2,0,1,89,0.09450334236771925,0.7767779661588972,0,56,7,0,65,306
57942,peak,3,6,1,0,16,0.12058302955145452,0.5844755453111529,0,322,55,0,379,1788
7671,night,2,1,0,0,65,0.1248638101430261,0.6480363115840029,1,43,7,7,57,237
12329,afternoon,1,1,0,0,47,0.1026043190320498,0.34425992366691366,0,69,8,0,79,381
4407,night,2,5,1,0,49,0.04411264641768122,0.7386620229623739,0,25,2,0,29,136
8192,night,2,2,0,0,14,0.04340260575928361,0.5695091110068937,0,46,3,0,48,253
8972,morning,0,3,0,0,47,0.12576352968285848,0.7606142062703043,1,50,7,7,64,277
3305,night,2,0,0,0,33,0.03358824626207305,0.522738342695278,0,19,2,0,21,102
13635,afternoon,1,2,0,0,19,0.10232850369301717,0.6415419984724589,0,76,9,0,87,421
4463,night,2,4,0,0,72,0.08402082068440946,0.5354192968634834,0,25,3,0,27,138
7157,night,2,1,0,0,89,0.07057041153645027,0.3712789647571552,0,40,4,0,43,221
6820,morning,0,1,0,0,18,0.07284014793966267,0.4360249889776707,1,38,3,5,47,211
15936,morning,0,1,0,0,79,0.13342488352822288,0.33362864722059016,1,89,12,11,113,492
9823,morning,0,3,0,0,73,0.12337318398763955,0.5201331714558901,0,55,7,0,64,304
5018,afternoon,1,4,0,0,30,0.12379806366580952,0.6246707717306734,0,28,4,0,33,155
3133,night,2,3,0,0,58,0.06879419697723467,0.4218556379048246,1,18,2,2,21,97
9356,night,2,0,0,0,35,0.03283774504847688,0.545194029103302,0,52,3,0,55,289
20552,morning,0,2,0,0,17,0.13974073197411688,0.5294866671190814,0,115,17,0,133,635
8919,afternoon,1,2,0,0,19,0.03744117047065778,0.5667102454516703,0,50,2,0,54,276
18682,afternoon,1,6,1,1,36,0.08186987963943895,0.39229233351353926,0,104,12,0,115,577
16006,morning,0,1,0,1,85,0.05175430263180705,0.5669920442034266,0,89,6,0,96,494
22382,morning,0,6,1,0,52,0.08128914339798901,0.4821027783935856,0,125,11,0,135,691
10848,morning,0,1,0,0,69,0.05659198329231777,0.44302092447952407,0,61,4,0,65,335
45249,peak,3,0,0,0,71,0.12762639687451516,0.5929910070118078,0,252,46,0,297,1397
6066,morning,0,3,0,0,14,0.13620099148506315,0.374018401750793,0,34,5,0,41,188
11656,afternoon,1,5,1,0,20,0.06920771391654597,0.7503293253037379,1,65,5,8,79,360
9847,night,2,5,1,0,63,0.028422756869307262,0.7674264064948575,1,55,2,8,64,304
14793,afternoon,1,5,1,0,69,0.09960033192145783,0.6303048448976412,1,83,9,8,100,457
28925,peak,3,4,0,0,71,0.06519506768581619,0.4515773448018666,0,161,15,0,177,893
22940,peak,3,0,0,0,60,0.13831623871477128,0.6130029350132069,0,128,25,0,154,708
16438,morning,0,2,0,0,16,0.030724973346190454,0.6007617332640738,0,92,3,0,97,508
16592,afternoon,1,2,0,0,73,0.03429517288341953,0.4956254908146682,0,93,4,0,97,512
11885,morning,0,3,0,0,43,0.10393077370238565,0.44362362368665476,0,67,7,0,73,367
21121,morning,0,6,1,0,38,0.11103795228245117,0.3842264761561165,0,118,14,0,132,652
5165,morning,0,0,0,0,35,0.07653156851486762,0.4086919200128253,1,29,3,3,35,160
10453,afternoon,1,4,0,0,49,0.05327175229281633,0.6265149617742805,0,59,4,0,63,323
21065,afternoon,1,0,0,0,78,0.05717720589565428,0.7429471655328954,0,118,8,0,125,651
10304,morning,0,0,0,0,27,0.0605567559705525,0.4924780274677279,0,58,4,0,63,318
9648,morning,0,3,0,0,26,0.04703383887696476,0.3609497422509159,0,54,3,0,57,298
42361,peak,3,4,0,1,36,0.12207710577768194,0.3064031508256247,0,236,51,0,286,1308
19115,morning,0,5,1,0,83,0.027809264906575704,0.5029528275311927,0,107,3,0,111,590
6798,morning,0,2,0,0,15,0.06887333888939776,0.4162834755932044,1,38,3,6,49,210
20605,afternoon,1,1,0,0,43,0.1097123773809191,0.4612777835044202,1,115,14,11,139,636
51827,peak,3,6,1,0,56,0.020459056933607198,0.4208349372528978,0,288,9,0,297,1600
8032,morning,0,5,1,0,67,0.12536390201371142,0.6320738160373809,0,45,6,0,51,248
16766,afternoon,1,4,0,0,46,0.10475518548552373,0.6192571504223963,0,94,11,0,104,518
4860,night,2,2,0,0,64,0.02880487482008816,0.7561522622554069,0,27,2,0,28,150
11546,morning,0,5,1,0,41,0.1273995906793326,0.6498724574223368,0,65,9,0,74,357
8017,night,2,3,0,0,60,0.07847659911569815,0.3824706902974184,0,45,5,0,49,248
21457,afternoon,1,6,1,0,63,0.09826872006683739,0.675797214654023,0,120,13,0,133,663
7226,afternoon,1,4,0,0,13,0.12584400494226103,0.39063393127621965,0,41,6,0,46,223
12283,afternoon,1,4,0,0,70,0.12573948136273586,0.57930044297188,1,69,10,9,90,380
13029,afternoon,1,2,0,0,48,0.0690492942209002,0.33853910474269644,0,73,6,0,80,403
11308,morning,0,2,0,0,40,0.0485227382029921,0.3236625284838243,0,63,4,0,69,349
5069,night,2,0,0,0,41,0.050890585321541205,0.532114996312098,0,29,2,0,30,157
5875,morning,0,0,0,0,33,0.11191299036604735,0.3524917807212517,1,33,4,5,44,182
17467,morning,0,4,0,0,86,0.13153164332049685,0.45333330244104064,0,98,13,0,113,539
12341,morning,0,1,0,0,30,0.028667680797637998,0.469416689156678,0,69,2,0,72,381
8436,afternoon,1,3,0,0,78,0.02180236736888165,0.6847134595235673,1,47,2,4,52,261
18024,afternoon,1,2,0,0,29,0.11875220737672888,0.4663400525898483,1,101,13,9,125,557
18929,morning,0,0,0,0,76,0.06639231239048701,0.5471500924609158,1,106,8,10,126,585
13735,afternoon,1,3,0,0,16,0.053173909394979325,0.68629296500025,0,77,5,0,81,424
10519,morning,0,6,1,0,87,0.04260486171390102,0.402449153424941,0,59,3,0,63,325
16636,afternoon,1,5,1,0,22,0.06157767317938935,0.7024486961189838,1,93,7,10,112,514
9683,morning,0,5,1,0,69,0.13657617071336095,0.7158973984809831,0,54,8,0,62,299
9080,afternoon,1,4,0,1,29,0.13724957294524365,0.794423397584592,0,51,10,0,62,281
17333,afternoon,1,2,0,0,83,0.05978162318680453,0.522023839432153,0,97,7,0,103,535
19819,peak,3,5,1,0,67,0.13564281419469384,0.4853246643302181,0,111,22,0,133,612
6385,morning,0,6,1,0,33,0.055983613968754044,0.6510026352876055,0,36,3,0,39,198
5298,morning,0,2,0,0,67,0.12253773143204871,0.3290755586353915,0,30,4,0,36,164
7911,morning,0,0,0,0,77,0.04544050509857115,0.31987575576492766,1,44,2,4,52,245
20792,peak,3,5,1,0,34,0.11917851060463891,0.4674954317328534,0,116,20,0,135,642
9748,night,2,1,0,0,27,0.06244764770686201,0.6647575440883015,0,55,5,0,62,301
9554,morning,0,5,1,0,55,0.04348682239315415,0.3582272218390518,1,54,3,5,63,295
7676,afternoon,1,2,0,1,83,0.13217358889083572,0.6177734241062178,0,43,8,0,51,237
3854,night,2,1,0,0,79,0.045702119891440386,0.4347526326498213,0,22,2,0,25,119
21771,afternoon,1,3,0,0,25,0.13902022709110903,0.6258373363427501,0,121,18,0,139,672
14079,afternoon,1,5,1,0,20,0.03302886708661878,0.5284880619446626,0,79,3,0,81,435
11365,morning,0,2,0,0,86,0.021202494006824876,0.3575758376473505,1,64,2,7,73,351
19966,morning,0,5,1,0,27,0.12449522552924998,0.4236414073814864,1,111,14,17,144,617
4926,night,2,5,1,0,24,0.09039252899701775,0.4098568769465377,0,28,4,0,31,153
33456,peak,3,2,0,0,47,0.0705951562490038,0.38229229635448503,0,186,19,0,204,1033
8633,afternoon,1,1,0,0,55,0.029835671063851304,0.5341727242023885,0,48,2,0,49,267
11987,morning,0,0,0,0,25,0.08898710371780327,0.7773327696584978,0,67,6,0,73,370
10422,morning,0,6,1,1,28,0.06724707022830795,0.6290444001454936,0,58,5,0,64,322
7574,night,2,5,1,0,76,0.07803462955864193,0.718001015749054,1,43,5,5,55,234
4125,night,2,4,0,0,65,0.09564702336826501,0.7905400945157368,0,23,3,0,27,128
6705,night,2,3,0,0,13,0.09679203267566758,0.5703113315967838,0,38,5,0,43,207
2594,night,2,2,0,0,28,0.13527190896236474,0.4190350378431876,0,15,3,0,19,81
8482,afternoon,1,5,1,0,34,0.09860640961272138,0.7639055035217932,0,48,5,0,54,262
12248,morning,0,6,1,0,12,0.060728496821867706,0.649491994535879,0,69,5,0,75,378
20355,morning,0,0,0,0,23,0.059555939331809415,0.7794706302735084,0,114,7,0,120,629
5257,night,2,2,0,1,24,0.07725931434891829,0.6255159808277619,0,30,4,0,34,163
17096,afternoon,1,5,1,0,89,0.051119323984181966,0.6875725050146357,0,95,6,0,101,528
8940,morning,0,3,0,0,85,0.06517267737515467,0.7453180973894392,0,50,4,0,56,276
7472,morning,0,4,0,0,23,0.12105353263158007,0.6796246557600407,0,42,6,0,50,231
5869,afternoon,1,2,0,0,68,0.12317139234406367,0.5813228860063611,1,33,5,5,42,182
10385,morning,0,5,1,0,29,0.09533509738404085,0.5359604661307362,0,58,6,0,64,321
7556,morning,0,1,0,0,26,0.08994091303929,0.7116886674564227,0,42,4,0,48,234
8330,afternoon,1,0,0,0,50,0.0712519798080235,0.6859929064103443,0,47,4,0,53,258
17218,afternoon,1,4,0,1,89,0.09630786986826159,0.4832154119655082,0,96,13,0,108,532
5268,afternoon,1,2,0,0,84,0.1167264014877788,0.5491659836710769,0,30,4,0,36,163
14379,morning,0,5,1,0,80,0.10854164694907764,0.6174953779428461,0,80,9,0,91,444
4948,night,2,4,0,0,44,0.024255141881322308,0.3141851095260737,1,28,2,4,36,153
13809,morning,0,1,0,0,59,0.10773559983267603,0.42378434996582315,0,77,9,0,88,427
14031,morning,0,2,0,0,16,0.10639372006100022,0.42510719753567794,0,78,9,0,88,433
4605,night,2,4,0,0,19,0.031878864402644314,0.7416157797406562,0,26,2,0,27,143
10498,afternoon,1,2,0,0,30,0.03802968375069514,0.46574387674814566,1,59,3,7,68,324
8107,night,2,2,0,0,63,0.11454902134163925,0.5725716938989568,0,46,7,0,54,251
20525,afternoon,1,4,0,1,23,0.08707874938959223,0.715793233502114,0,115,14,0,131,634
8158,afternoon,1,2,0,0,83,0.11859547887027948,0.42984690627166794,0,46,6,0,52,252
6543,morning,0,1,0,1,19,0.042169296188718036,0.36187853873343206,0,37,2,0,41,202
20297,afternoon,1,4,0,0,66,0.02367377176476042,0.7741799032542236,0,113,3,0,117,627
10451,morning,0,5,1,0,45,0.039433010560541444,0.6523414680170814,0,59,3,0,64,323
15012,morning,0,6,1,0,76,0.0743084054339623,0.38852688284007064,0,84,7,0,90,464
31922,peak,3,4,0,0,86,0.0827951306731882,0.7098557770063298,0,178,21,0,201,986
7426,afternoon,1,1,0,0,58,0.12292413464632002,0.6935633066677926,1,42,6,4,52,230
6435,night,2,1,0,0,46,0.10594406358224764,0.7187705487377429,0,36,5,0,40,199
14377,afternoon,1,1,0,0,43,0.13884687686348957,0.4381062883271146,0,80,12,0,94,444
3498,night,2,5,1,1,62,0.029446350965043666,0.5242898366944855,1,20,2,3,27,108
12096,afternoon,1,5,1,0,17,0.035626528704790564,0.6468368716140568,0,68,3,0,71,374
18955,afternoon,1,6,1,0,20,0.03012267125846836,0.4953337871147025,0,106,4,0,112,585
14707,afternoon,1,6,1,0,51,0.08461496558937653,0.3349860861081329,0,82,8,0,91,454
6790,morning,0,2,0,0,59,0.05202329249675912,0.368224876997718,1,38,2,5,45,210
6419,night,2,2,0,0,83,0.10203595281165258,0.5985567525487152,0,36,5,0,42,199
16284,morning,0,3,0,0,37,0.03592290661479864,0.48758409979931083,1,91,4,8,103,503
19274,morning,0,6,1,1,48,0.03238296794745516,0.30269006590485387,0,108,5,0,112,595
15620,afternoon,1,6,1,0,63,0.07521985639915374,0.6834272634880489,1,87,7,8,102,482
7773,morning,0,2,0,0,23,0.06510780239159887,0.5083518713975805,0,44,3,0,47,240
47832,peak,3,1,0,1,49,0.11949978991941189,0.4568846427229662,1,266,56,28,351,1476
46933,peak,3,3,0,1,79,0.12050648900515984,0.6567595895255497,0,261,56,0,318,1449
18651,peak,3,6,1,1,27,0.03409144014481702,0.5275544094932016,0,104,7,0,111,576
11640,afternoon,1,1,0,0,72,0.11747873358104546,0.6474155546960936,0,65,9,0,73,360
10706,morning,0,0,0,0,35,0.08769979788543454,0.30659904119061127,0,60,6,0,66,331
45840,peak,3,6,1,0,89,0.08042699286520401,0.3047100570424122,0,255,29,0,286,1415
8579,afternoon,1,5,1,0,28,0.03137160514935377,0.5799509652051891,0,48,2,0,50,265
43555,peak,3,4,0,0,15,0.10875569227935004,0.7911060171142539,0,242,37,0,278,1344
57428,peak,3,0,0,0,61,0.027156053887687524,0.436178618959166,0,320,13,0,334,1773
8002,night,2,5,1,0,14,0.053323012357952,0.6414467785833375,0,45,3,0,50,247
20332,morning,0,5,1,0,19,0.031451784171682776,0.38612877145134117,0,113,4,0,117,628
21444,afternoon,1,1,0,0,23,0.08369211318091084,0.4557743158804169,1,120,11,15,146,662
2001,night,2,2,0,0,46,0.09742760704515108,0.339037445237604,0,12,2,0,14,62
15175,morning,0,4,0,0,77,0.12690261757765098,0.7403965799784222,0,85,11,0,97,469
11479,morning,0,2,0,1,64,0.10806463051955163,0.45521870077658155,0,64,9,0,72,355
20591,afternoon,1,2,0,0,44,0.13533252786965203,0.415233223701495,1,115,17,15,149,636
29252,peak,3,6,1,0,29,0.11131397994613343,0.6653020892199502,0,163,26,0,188,903
20783,afternoon,1,4,0,0,69,0.05576877239509421,0.3997200778052464,0,116,7,0,122,642
14693,afternoon,1,4,0,0,89,0.08571017726757987,0.4201376802491915,1,82,8,10,100,454
18896,morning,0,0,0,0,56,0.0749527567184019,0.3518081268303573,0,105,8,0,115,584
6416,afternoon,1,1,0,1,26,0.08791624683648133,0.7814359545974384,0,36,5,0,43,198
26442,peak,3,2,0,0,26,0.08865072072948708,0.42381887476083946,0,147,19,0,167,816
18651,morning,0,1,0,0,56,0.10425213025628315,0.7978316514011913,0,104,11,0,117,576
5427,afternoon,1,1,0,0,79,0.02996525775746772,0.38807472048423947,0,31,2,0,32,168
8268,night,2,6,1,0,80,0.10960941546581016,0.310325924989085,0,46,7,0,53,256
2171,night,2,3,0,0,78,0.03724923358799087,0.7478468067221417,1,13,2,2,17,67
16908,afternoon,1,0,0,0,87,0.023144876590401868,0.5900086259200578,0,94,3,0,97,522
4960,night,2,2,0,0,73,0.08226866503537547,0.47570499999206434,0,28,3,0,30,154
15676,afternoon,1,5,1,0,55,0.08977723527946362,0.5566698312285256,0,88,9,0,98,484
16559,morning,0,4,0,0,31,0.02418212841404347,0.4303634774537143,0,92,3,0,96,511
4684,night,2,4,0,0,50,0.08184453377360276,0.6173794251408122,0,27,3,0,32,145
2931,night,2,1,0,0,50,0.08414842500385661,0.6082342791712831,1,17,2,3,22,91
2667,night,2,0,0,0,12,0.026299388151797738,0.34009614451984466,0,15,2,0,17,83
43287,peak,3,0,0,0,78,0.10539023421376113,0.7553440503005384,0,241,36,0,277,1336
14253,afternoon,1,2,0,0,58,0.045234764214126484,0.5302626711125542,1,80,4,8,92,440
17039,afternoon,1,2,0,0,84,0.11533510565903551,0.39757706604111187,0,95,12,0,107,526
5903,night,2,1,0,0,65,0.05729865557598704,0.4536919297180078,0,33,3,0,38,183
12221,afternoon,1,1,0,0,31,0.07734710377570603,0.7331108774188032,0,68,6,0,75,378
5017,night,2,1,0,0,20,0.12702210553026405,0.49159258599105055,0,28,5,0,34,155
2241,night,2,3,0,1,39,0.11674153602230572,0.5809805855978142,0,13,3,0,15,70
4587,night,2,0,0,0,75,0.11382362943025463,0.7738448674414756,0,26,4,0,30,142
22222,morning,0,1,0,0,46,0.039252103713850586,0.6258582187909831,0,124,5,0,130,686
20462,afternoon,1,6,1,0,51,0.025777086403953056,0.637858371962801,1,114,4,14,133,632
10561,morning,0,0,0,0,13,0.0926910740816725,0.42428441858103766,0,59,6,0,67,326
14514,afternoon,1,5,1,0,14,0.06928299709866174,0.6341475925139923,1,81,6,7,96,448
19689,morning,0,4,0,0,25,0.1290892731716569,0.4969013720962506,0,110,15,0,124,608
13118,afternoon,1,4,0,0,79,0.06195119162757224,0.755521242299837,1,73,5,9,86,405
5370,afternoon,1,0,0,0,58,0.06926580211975068,0.36476942395528855,0,30,3,0,34,166
5976,morning,0,5,1,0,65,0.08312006516587035,0.442820174831814,0,34,3,0,36,185
13016,afternoon,1,4,0,0,69,0.11556807987585345,0.3330003643211059,0,73,9,0,83,402
21095,morning,0,4,0,0,73,0.0521958864920963,0.4904519245850005,1,118,7,18,145,651
16274,morning,0,4,0,0,62,0.13301847885948492,0.3741863330782055,0,91,13,0,103,503
2648,night,2,2,0,0,89,0.08479053352658458,0.7225718772312055,0,15,2,0,18,82
8503,afternoon,1,5,1,0,59,0.12091727134092911,0.7625216009945914,0,48,7,0,56,263
17675,morning,0,2,0,0,38,0.08307421801472226,0.6347128224023579,0,99,9,0,110,546
18968,afternoon,1,0,0,0,88,0.11263918348880161,0.3516672999929196,0,106,13,0,120,586
6758,night,2,0,0,0,66,0.026170490298115363,0.47081544081121013,0,38,2,0,40,209
